Design_ID,Design_Description,Status,created_at,updated_at
design001,"Add a single auxiliary Smooth-L1 reprojection loss (weight=0.5) that projects the predicted absolute body joints (pred_pelvis + pred_root_relative for indices 0-21) through per-sample K to normalised pixel coordinates and supervises against the GT absolute-joint projections, coupling the joint and pelvis pathways through camera geometry. No other baseline change.",Done,2026-04-22T18:45:00,2026-04-22T18:45:00
design002,"Add two auxiliary Smooth-L1 reprojection losses: one on body joints 0-21 (weight=1.0) and one on the pelvis-only 2D projection (weight=1.0), giving the pelvis pathway a direct image-space supervision signal in addition to the joint-wide reprojection; both share the same total weight factor `reproj_loss_weight=1.0`.",Done,2026-04-22T18:45:00,2026-04-22T18:45:00
design003,"Add body-joint and pelvis reprojection losses as in design002, but weight each joint's Smooth-L1 pixel error by `X_i / fx` (predicted absolute depth over focal length) to approximately convert normalised pixel error into 3D-equivalent millimetre error, upweighting distant joints whose pixel footprint per mm is smaller; overall weight `reproj_loss_weight=1.0`.",Done,2026-04-22T18:45:00,2026-04-22T18:45:00
