epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,614.7514,227.0187,1401.9663,401.1661,497.9740,1487.2231
2,525.0328,219.4532,1145.4520,398.0982,493.4649,1241.7197
3,493.4914,216.9841,1054.8851,400.2658,498.2858,1166.8119
4,461.0231,214.4918,961.5563,408.3711,502.3586,1078.7398
5,433.6199,213.6325,880.2610,397.7250,499.2697,1009.9910
6,446.0081,211.5535,922.0221,439.2663,558.1995,1075.8359
7,424.3087,209.8358,859.7538,386.1056,485.2722,992.7546
8,401.2373,205.6442,798.3505,388.0381,490.8101,929.7866
9,391.1962,202.3847,774.5406,407.2072,532.7578,919.0294
10,385.0169,201.0405,758.5447,384.1203,489.9585,893.4531
11,398.5683,199.2348,803.2757,372.5055,471.4184,926.2081
12,382.6328,195.9784,761.5978,364.0877,461.6530,889.5693
13,382.0652,195.3712,761.1104,365.4340,462.2083,889.6309
14,377.4364,194.8355,748.1716,362.4454,461.9813,869.6603
