Design_ID,Design_Description,Status,created_at,updated_at
design001,"Add a zero-init `Linear(hidden_dim=256, 1)` auxiliary head on the projected spatial tokens that regresses the bilinearly-downsampled input depth map at the 40x24 feature grid, supervised by `SmoothL1(beta=0.1)` with a valid-foreground mask (0.1 m < d < 30 m) and total weight λ=0.1.",Done,2026-04-27T15:32:29,2026-04-27T15:32:29
design002,"Design 001 in log-space: the aux head regresses `log1p(depth)` at each feature cell instead of raw metres, with a higher loss weight λ=0.3 to compensate for the smaller log-space magnitudes; compresses dynamic range and aligns the loss with relative depth error.",Done,2026-04-27T15:32:29,2026-04-27T15:32:29
design003,"Design 002 (log-space aux depth reconstruction at λ=0.3) plus an edge-preserving first-order spatial gradient consistency term at sub-weight 0.5; the total aux loss is `recon_loss + 0.5 * grad_loss` times λ=0.3, encouraging both absolute per-cell depth fidelity and matching depth discontinuities at the body outline.",Done,2026-04-27T15:32:29,2026-04-27T15:32:29
