epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,217.7534,194.8884,264.1762,415.9764,439.1920,494.5720
2,204.5481,190.2559,233.5658,413.4217,437.7338,476.4955
3,208.8464,188.7786,249.5902,415.3922,439.7574,497.7970
4,209.4457,187.0244,254.9676,415.0534,440.0616,497.5048
5,197.7936,185.9032,221.9346,413.9002,438.9325,481.1564
6,194.9629,182.1291,221.0195,410.6122,436.2401,486.8964
7,185.7805,178.4290,200.7064,408.9060,435.4873,472.0906
8,184.6960,175.3210,203.7302,409.4542,437.4879,471.2085
9,182.0008,173.7898,198.6716,410.8222,439.0251,470.8853
10,179.6258,172.2115,194.6791,409.0059,437.7506,462.1933
11,179.5112,170.8266,197.1437,409.2957,438.4376,466.1268
12,179.3208,169.7413,198.7700,408.6775,437.6980,464.1490
13,177.1194,168.5811,194.4547,408.1287,437.7192,461.9978
14,176.5700,168.2077,193.5480,407.6513,437.0616,462.5596
15,173.6819,167.6356,185.9577,406.8238,436.2858,460.1701
16,175.4412,167.5426,191.4776,407.0356,436.4918,461.8846
17,174.3833,166.8403,189.6978,406.9476,436.7643,463.1649
18,174.9703,166.8446,191.4680,406.7367,436.4698,463.0817
19,174.5550,166.7968,190.3066,406.7804,436.5353,461.8631
20,174.6799,166.7829,190.7133,406.8237,436.5912,462.0226
