epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,829.9743,239.2923,2029.2377,459.2617,487.7881,2116.5533
2,575.5188,219.9466,1297.4382,447.6380,480.7161,1415.4178
3,493.6037,218.5482,1052.0497,442.2306,473.7493,1185.8159
4,474.0011,215.5223,998.7913,445.0311,477.1368,1137.8559
5,450.0030,214.8349,927.4656,443.2877,476.0631,1074.6273
6,418.5977,212.8076,836.4140,444.2286,476.1142,998.6050
7,419.8055,211.0282,843.6865,440.5189,473.0361,1001.2170
8,397.2500,208.8846,779.6889,442.5561,475.4583,950.9730
9,427.3746,207.0398,874.7210,442.5729,476.5198,1026.5939
10,375.4914,201.8282,728.0803,440.1982,475.3545,904.3198
11,397.0678,200.3172,796.5311,440.3325,475.6524,958.6917
12,381.8797,198.5059,754.1841,439.6076,475.7088,932.2058
13,377.3556,196.9842,743.5642,439.9815,476.6079,921.5056
