epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,1097.0712,222.4681,2872.7804,436.3983,477.7170,2938.2963
2,804.7507,220.9371,1990.0693,433.7497,473.2498,2064.4767
3,622.3555,220.5958,1438.0495,435.6286,476.9123,1558.2452
4,626.6527,217.7099,1456.9307,433.8872,476.8328,1559.5518
5,866.8543,220.7793,2178.5822,434.3665,475.7265,2257.7646
6,555.3712,218.9522,1238.4039,433.9373,477.3276,1360.6776
7,511.9498,216.1014,1112.6116,432.6431,476.5566,1240.9103
8,555.8549,218.0532,1241.6947,433.2263,476.4315,1365.7473
9,494.7768,216.1185,1060.5375,432.2267,476.9470,1200.6083
10,488.7900,214.0795,1046.5353,432.3589,477.9563,1178.9565
11,479.2883,213.5008,1018.9175,431.7909,478.3559,1163.0971
12,492.9161,214.5138,1058.1573,432.3113,479.0133,1197.2176
13,484.0917,212.5222,1035.4600,430.8937,478.1001,1172.1925
14,469.0649,210.9901,993.0350,430.2560,478.4197,1138.1427
