epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,712.6715,226.7905,1699.1571,452.0214,483.5072,1794.5951
2,555.1483,220.0650,1235.4692,447.7265,480.6948,1362.5051
3,946.1719,217.5840,2425.4261,446.5698,479.6627,2502.1968
4,749.1785,218.6167,1826.3798,445.4576,477.9281,1925.1345
5,545.9570,215.4637,1216.9586,444.8917,477.7606,1354.4116
6,457.7404,218.1121,944.2583,447.4206,478.6951,1086.6820
7,471.9172,212.1058,999.4132,442.6978,475.3518,1139.1788
8,443.9898,209.5043,920.0665,443.2507,476.9512,1075.3014
9,418.9761,209.9855,843.2904,445.2792,479.0597,1006.5944
10,408.0067,207.9282,814.2267,444.1667,477.2207,984.2498
11,403.8625,206.7802,803.9995,444.1302,478.4615,974.0825
12,380.6852,205.4070,736.5530,443.3074,478.0265,922.6862
13,376.1342,204.3075,724.9946,441.2323,475.5085,910.9636
