epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,788.1735,231.4771,1918.4360,455.3861,486.5835,2021.4891
2,538.6176,220.8640,1183.7538,445.8851,478.3201,1307.9005
3,532.9803,216.5356,1175.4590,442.1022,474.0444,1293.0810
4,492.9741,213.8088,1059.7640,444.0135,476.9329,1193.4487
5,445.6698,214.7122,914.5838,442.0595,475.3284,1062.6351
6,436.8997,214.4245,888.5918,447.1134,479.1730,1037.1437
7,411.5833,210.6807,819.4764,443.1575,476.3854,977.6551
8,422.9988,209.9814,855.4887,444.3344,476.9962,1009.2423
9,394.0774,208.7610,770.3259,443.2506,477.2402,939.1565
10,399.0688,203.4979,796.1370,444.2622,478.9819,974.7556
11,387.2420,201.5135,764.3271,442.9912,478.9400,942.2178
12,377.9521,199.0013,741.2763,442.0703,478.3734,922.8772
