epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,219.8551,195.0675,270.1815,418.0537,442.2148,494.2287
2,211.5607,193.7719,247.6773,421.1194,444.9644,485.1647
3,195.3279,187.1781,211.8744,413.7380,438.8115,467.0932
4,189.5536,184.6461,199.5173,414.3607,439.8853,469.4677
5,181.1506,178.0633,187.4187,413.1817,440.6450,462.2460
6,181.5746,175.3786,194.1542,410.5882,438.3430,464.3760
7,177.5165,172.3496,188.0069,408.4584,436.7588,467.6564
8,176.9099,171.1431,188.6180,410.0616,439.1011,465.6304
9,175.1689,170.0669,185.5275,408.9651,438.2015,461.1933
10,172.1246,168.2455,180.0004,407.0478,436.8195,454.5029
11,174.6776,168.7428,186.7273,409.0768,438.5310,460.9341
12,174.4034,167.3862,188.6505,407.4103,436.8992,461.8475
13,172.2711,166.9604,183.0532,407.4719,437.3148,453.9503
14,173.4160,166.5647,187.3261,406.6500,436.2909,459.1304
15,170.9986,166.2280,180.6845,406.2902,435.9663,457.6656
16,170.7676,165.5598,181.3410,406.4240,436.3050,457.2812
17,171.2639,165.2907,183.3914,406.3628,436.4219,459.4176
18,171.6330,165.2295,184.6340,406.0660,436.1228,458.1208
19,171.4578,165.1776,184.2087,406.1775,436.2626,457.6828
20,171.4879,165.1643,184.3266,406.2358,436.3316,457.4110
