epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,652.3624,233.1752,1503.4395,448.6085,479.6877,1616.0122
2,531.0572,227.7834,1146.7948,443.1438,475.1252,1275.4090
3,474.9251,228.0529,976.1505,441.9323,473.3361,1116.3918
4,447.1185,227.6256,892.7556,443.8725,475.4230,1044.8338
5,442.0657,227.5531,877.5914,445.0357,477.3258,1037.6751
6,427.9947,225.6454,838.8251,445.6353,478.4062,1000.2887
7,439.1128,228.2301,867.2687,445.9350,477.9021,1034.0842
8,416.7408,225.9967,804.0089,446.3691,478.9009,980.6029
9,407.0761,226.4303,773.8418,447.9289,480.9110,958.9700
10,394.9913,226.0164,738.0617,447.5082,480.1128,930.1612
11,411.7942,227.0698,786.8407,447.6324,480.1771,969.7827
12,398.4274,225.6200,749.2788,447.1360,480.1472,941.7618
13,402.9550,224.4967,765.2795,447.6528,480.9273,955.9664
