epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,742.0196,228.9443,1783.7180,453.7501,484.8638,1889.7794
2,540.4069,218.4283,1194.1210,446.6521,479.3076,1321.1595
3,525.0776,216.8287,1150.9165,445.6824,477.8606,1287.5662
4,457.7550,215.8862,948.8219,445.0636,477.4273,1103.1007
5,472.9687,215.8434,995.0110,444.4566,477.3385,1150.2723
6,421.6554,211.2305,848.8818,443.7630,476.7040,1009.2732
7,433.3832,209.3136,888.3124,442.3910,475.5280,1044.5591
8,435.8409,207.0446,900.3665,444.3082,478.2309,1051.1563
9,401.1932,203.7746,802.0127,442.0570,477.3162,966.6819
10,390.2657,200.9649,774.6038,441.4236,476.6730,948.8971
11,387.1235,197.5078,772.1007,441.1693,477.7642,943.3358
12,391.3453,197.2371,785.4438,441.9571,478.7353,957.0731
13,388.7884,196.3793,779.4371,441.2436,478.0167,952.7377
