epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,716.5197,221.2308,1722.1064,441.9070,477.0740,1824.9846
2,697.3627,217.9738,1670.6673,436.0408,471.9711,1774.2628
3,543.9987,215.1026,1211.7573,438.4308,474.7959,1334.4988
4,514.9554,213.8529,1126.2847,438.7637,474.4795,1251.1739
5,471.2152,210.9438,999.6452,438.2989,474.4893,1141.1725
6,454.9180,205.1170,962.0899,436.7461,474.0088,1104.0179
7,437.7162,200.2197,919.9062,433.7291,472.7630,1061.2445
8,433.5083,196.8658,913.9643,436.6876,476.6795,1060.8933
9,424.9085,194.6707,892.3608,434.8266,475.8164,1033.5240
10,397.4796,194.9237,808.7295,432.6640,473.0136,976.8851
11,406.7679,193.7194,839.3210,435.6232,476.4574,999.9290
12,394.3503,194.2134,800.6888,434.4853,475.5795,969.5297
13,391.1651,194.0258,791.4176,435.1922,476.4558,963.3763
14,393.7830,192.4949,802.4589,435.0144,476.5769,970.6709
