epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,682.7474,226.1270,1609.8252,447.6385,481.2175,1720.5839
2,546.1074,219.7248,1208.7629,441.0357,475.6224,1328.5609
3,505.8051,218.7752,1088.5627,439.4486,476.3517,1214.8333
4,462.4163,217.4730,959.7255,440.9373,478.0615,1104.7893
5,454.9247,214.9261,942.1945,436.9994,476.3889,1089.4283
6,431.1087,211.6331,876.7107,434.2840,472.5366,1035.9120
7,412.2484,204.1025,834.8476,433.1541,474.4744,986.3942
8,406.0883,201.0473,822.3837,433.4328,474.6863,979.6610
9,400.0431,197.1387,812.0004,431.7409,474.0327,977.0775
10,403.6099,195.7292,825.6709,432.0372,474.0818,997.8451
11,388.9786,193.2976,786.2703,431.4043,474.2172,955.8643
12,387.4729,193.6652,780.9613,432.8037,475.8475,956.4961
13,378.7322,192.1495,757.5515,431.1587,475.1137,939.1668
