epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,759.0269,219.1759,1855.0880,444.1414,482.4186,1952.7745
2,644.2454,215.7265,1514.2686,441.4547,481.7770,1626.2063
3,539.8180,215.1070,1199.0798,442.0228,481.6639,1325.6879
4,491.1944,209.1327,1063.8650,440.5773,483.7126,1200.3943
5,470.5570,203.4806,1012.8032,440.9072,489.5608,1150.4970
6,448.5817,198.3662,956.5950,438.6879,487.9049,1095.0778
7,420.3105,200.2620,867.0757,440.9486,492.8370,1033.8850
8,424.6527,196.4246,888.0249,440.1400,494.7586,1059.1294
9,420.3622,194.1380,879.6660,439.2747,493.9525,1043.3739
10,392.2592,192.3850,798.0643,438.2560,493.8135,973.6336
11,436.2921,191.8225,932.6394,441.2354,498.4718,1084.4026
12,393.9114,191.6019,804.6609,440.4106,497.4931,982.9698
13,389.5280,188.8051,797.0562,437.4892,494.2707,981.0417
