epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,670.3588,227.9886,1568.5044,448.4361,480.1724,1675.9398
2,577.2557,222.5015,1297.5143,443.2301,474.5116,1416.8905
3,537.2340,225.0392,1171.0840,447.4747,478.8976,1294.7479
4,462.1872,222.9503,947.9105,447.0951,478.2603,1094.1167
5,442.8751,210.8853,913.8847,438.5235,473.4077,1070.0893
6,450.5980,210.7153,937.6324,440.6857,475.0345,1092.0089
7,425.6726,202.2679,879.2519,435.5738,472.7983,1038.2107
8,434.0834,205.4835,898.2104,443.2868,481.8883,1042.6108
9,400.5674,197.0253,813.8195,436.5015,475.9709,986.3811
10,399.7024,198.2557,808.7002,435.4580,474.4691,977.4324
11,396.1811,199.4014,795.7034,440.7946,480.2512,969.2870
12,381.6119,194.7166,761.0660,436.4131,476.0835,938.9330
