epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,622.6355,227.3227,1425.2402,452.3612,483.6087,1547.2722
2,510.3906,217.3116,1105.4297,446.6161,479.7269,1242.9351
3,490.8623,215.6436,1049.6394,442.5783,475.4546,1189.0068
4,455.4565,214.5532,944.5631,443.7856,476.3306,1095.2607
5,441.9644,216.7405,899.2370,443.4036,476.5340,1052.9710
6,424.7968,213.2133,854.3754,445.1433,477.6919,1013.6501
7,406.2564,211.6404,801.3860,442.9317,475.6839,974.6800
8,448.1100,211.3370,928.8308,442.5713,474.5742,1083.0135
9,390.5599,209.3733,758.4237,443.3299,477.0599,937.5199
10,393.8710,207.4620,772.3378,443.4349,477.5181,958.3077
11,393.9384,206.6719,774.1462,443.7482,477.9718,952.2931
12,391.6453,203.7500,773.1298,441.7616,476.3812,956.4657
