epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,609.9027,217.5527,1406.4923,436.7580,481.0964,1509.2252
2,510.3148,215.8036,1108.2620,436.0204,479.0112,1236.9395
3,468.0300,215.5163,980.7092,436.5251,478.0553,1122.3539
4,460.3907,215.2725,958.0549,437.1853,478.6232,1099.8242
5,479.7423,216.1057,1015.0046,437.1337,479.2615,1137.7298
6,424.7378,217.1271,846.2504,437.8471,476.7994,1003.9790
7,443.9666,211.1675,916.6192,435.7589,478.6284,1065.5077
8,414.6127,212.6274,824.7040,437.2424,480.3422,993.0385
9,386.9022,208.6190,748.8712,436.6833,480.6071,925.8741
10,385.3106,207.3511,746.6224,436.4978,481.1868,922.5365
11,382.9752,204.1700,746.0038,436.7478,483.1587,922.7501
12,434.9004,199.9338,911.9539,434.3924,482.0208,1064.0163
13,378.0355,197.2327,745.1201,433.4721,482.8796,927.1272
