epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,222.4014,198.3968,271.1380,428.3499,453.3617,506.5885
2,224.5278,208.6421,256.7808,421.5368,443.5893,497.6485
3,207.9983,188.4847,247.6167,416.8103,444.7629,493.0665
4,204.9640,187.3362,240.7538,418.4528,446.9802,503.0809
5,197.8720,178.4299,237.3453,419.5745,452.8272,493.9755
6,185.7724,173.5145,210.6597,416.3209,451.6322,487.5886
7,180.0511,168.4030,203.7003,416.4525,453.8133,474.4523
8,193.3225,167.0556,246.6524,415.8208,453.5909,492.5185
9,179.0406,167.2724,202.9335,416.4335,455.2842,472.0681
10,172.4298,164.1252,189.2905,415.2264,456.2372,468.8986
11,176.3557,162.4900,204.5072,415.3720,456.1605,474.4774
12,171.8923,161.4042,193.1862,417.5009,458.7132,466.0077
13,168.9844,160.2830,186.6508,416.5633,458.5330,466.9012
14,169.9360,159.0076,192.1239,416.5545,459.5822,464.6553
15,169.7022,158.4173,192.6141,416.5156,459.6488,468.2027
16,167.1094,156.2774,189.1016,415.4888,459.1973,466.3514
17,169.1510,156.7279,194.3736,418.0869,462.3763,469.8533
18,169.3779,156.3789,195.7698,417.4610,461.4697,471.0103
19,168.0133,155.7945,192.8210,417.2727,461.4670,470.4929
20,168.2669,155.7790,193.6212,417.3934,461.6370,469.9111
