epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,624.1686,229.1593,1426.1572,453.2575,484.1042,1533.5639
2,569.0786,219.8071,1278.2056,447.3569,480.4507,1399.0929
3,491.3377,216.5462,1049.2477,442.3908,474.8747,1185.0715
4,469.7379,214.8193,987.2999,442.2922,474.7706,1123.7205
5,470.0468,213.5756,990.7610,443.7755,477.0977,1133.2750
6,438.3726,214.1601,893.5920,445.6991,477.3637,1057.9644
7,416.7669,210.7715,835.0000,442.6282,475.3145,1008.6530
8,435.9576,212.3348,889.9796,445.6872,478.6468,1047.1953
9,416.5074,208.0207,839.7985,441.8637,475.7133,1007.7380
10,389.4555,206.5711,760.7660,441.4904,475.7656,938.0768
11,392.0263,205.2199,771.2999,443.2384,478.7158,946.0961
