epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
5,469.6355,219.1438,978.2096,441.4517,476.3180,1114.7897
10,399.3512,211.7276,780.2840,439.5840,476.7228,937.6375
15,380.6865,208.3292,730.6242,439.5545,477.9610,898.0600
