epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,222.4362,202.2390,263.4427,416.9687,438.9422,497.6224
2,210.2060,195.1583,240.7575,413.0833,436.7003,479.1800
3,198.8180,195.6250,205.3007,415.2789,438.2885,468.4827
4,192.2975,192.6131,191.6567,415.6055,438.9966,470.4076
5,183.6296,187.2022,176.3760,415.2737,440.6977,464.3372
6,188.3025,184.5669,195.8868,412.7641,438.7056,475.1825
7,183.0335,183.0292,183.0422,411.9926,438.2655,466.8232
8,185.2206,181.6118,192.5474,412.8568,439.7747,464.6846
9,179.6744,180.6698,177.6535,411.5720,438.6341,460.6997
10,183.5326,178.1667,194.4269,410.2719,438.0612,460.9578
11,185.4129,177.6821,201.1087,411.8481,439.5801,471.9130
12,179.7125,177.2581,184.6955,409.6657,437.5533,460.6363
13,178.8698,175.7544,185.1951,409.6143,437.9689,455.5320
14,180.1417,176.0771,188.3941,409.2585,437.3050,459.3130
