epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,216.1659,194.1512,260.8623,416.6282,440.1970,493.0768
2,204.0403,190.3490,231.8379,414.0974,437.3800,475.4433
3,200.8996,185.8738,231.4065,412.6949,437.1826,473.9411
4,190.6364,183.5334,205.0575,413.2599,437.8358,479.4441
5,180.8630,178.0373,186.5998,412.1689,438.5563,464.8407
6,180.9082,175.9747,190.9245,410.8277,437.2060,463.6143
7,176.6480,173.0798,183.8923,408.2271,435.6222,465.2283
8,176.5157,171.8800,185.9277,408.4567,436.3742,456.4975
9,174.3748,170.0394,183.1770,408.3497,436.8124,462.7491
10,171.2059,168.5475,176.6031,407.3536,436.4069,455.5093
11,171.4235,168.1906,177.9872,408.8106,437.8840,461.5099
12,173.3803,167.6643,184.9854,407.1929,435.8249,460.1007
13,170.6427,167.0500,177.9368,407.2272,436.0575,454.3434
14,171.7869,166.6037,182.3104,406.6749,435.3879,459.3766
15,169.6730,166.4236,176.2702,406.5541,435.3514,455.6035
16,170.4033,165.6972,179.9583,406.2974,435.2733,458.0792
17,169.6450,165.3542,178.3565,406.4647,435.7305,459.0552
18,169.9714,165.2774,179.5017,406.1350,435.3745,458.3618
19,169.8146,165.1653,179.2541,406.2008,435.4880,457.7497
20,169.7807,165.1430,179.1967,406.2895,435.5953,457.6957
