epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,216.5084,193.7738,262.6664,416.6283,441.0141,489.0004
2,202.4779,189.4770,228.8736,412.8661,437.1793,473.6537
3,192.7417,186.8004,204.8043,415.0634,440.0483,466.7043
4,185.2895,183.7190,188.4781,412.7787,437.9295,468.3094
5,181.2268,178.3367,187.0946,412.1120,438.9046,465.1923
6,179.4864,175.0934,188.4056,410.6733,438.1006,467.6724
7,177.3809,173.0061,186.2630,407.9472,435.6099,461.6716
8,177.3496,172.4403,187.3170,408.5764,436.6744,458.6187
9,173.7203,170.4017,180.4582,408.8332,437.5962,461.3205
10,171.7672,168.7762,177.8399,407.0590,436.1950,453.7440
11,172.7417,168.4338,181.4880,408.7388,438.0255,460.9540
12,174.5753,167.6406,188.6549,407.1162,436.2053,457.4676
13,171.1234,167.0466,179.4005,407.4296,436.8294,454.1654
14,171.4581,166.6709,181.1776,406.8311,436.0529,458.7458
15,169.6461,166.3495,176.3392,406.4221,435.7459,454.7841
16,170.5878,165.8925,180.1206,406.3753,435.7402,458.3849
17,170.3721,165.6325,179.9949,406.6435,436.2589,459.6974
18,170.4051,165.5425,180.2778,406.3054,435.8959,458.9782
19,170.2660,165.4572,180.0295,406.3630,435.9789,457.9490
20,170.1698,165.4290,179.7950,406.4237,436.0595,457.7168
