idea_id,design_id,stage,epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
idea007,design001,1,5,441.0360,219.7444,890.3251,444.0010,473.7108,1030.2546
idea007,design001,1,10,376.4045,210.3064,713.6339,442.2092,474.3489,876.4957
idea007,design001,1,15,366.5012,201.0112,702.4960,441.4429,476.7742,865.6510
idea007,design001,1,20,349.7025,198.8143,656.0512,439.9935,475.8725,832.2267
idea007,design002,1,5,435.8759,220.2867,873.5874,441.7265,471.2042,1011.9141
idea007,design002,1,10,364.4825,207.8713,682.4507,439.6168,473.3157,857.0526
idea007,design002,1,15,345.8975,200.5823,640.9313,438.5622,474.1495,818.8501
idea007,design002,1,20,339.7223,197.3514,628.7783,436.6502,473.3974,811.1241
idea007,design003,1,5,483.6761,218.4436,1022.1785,443.7627,474.7734,1154.7389
idea007,design003,1,10,386.1686,208.5378,746.8129,443.3595,476.9229,903.0977
idea007,design003,1,15,357.8345,197.3588,683.6488,440.1696,477.1748,853.8076
idea007,design003,1,20,353.9675,196.1216,674.4426,439.6026,476.8888,850.4283
idea008,design001,1,5,460.6261,218.5598,952.0942,433.0676,467.4534,1077.7035
idea008,design001,1,10,386.3558,198.5314,767.6962,426.7729,467.4534,919.4548
idea008,design001,1,15,372.4339,196.9072,728.8062,426.2625,467.4534,886.7076
idea008,design001,1,20,368.0919,195.4412,718.6252,425.8017,467.4534,879.5707
idea008,design002,1,5,414.7159,217.0348,816.0682,421.3052,524.8830,938.6793
idea008,design002,1,10,356.8542,205.4015,664.3491,388.9052,501.0876,803.3009
idea008,design002,1,15,350.7766,196.7309,663.5360,368.7144,472.6038,799.1188
idea008,design002,1,20,333.6329,195.7756,613.5250,362.1541,463.1609,747.2466
idea008,design003,1,5,454.9755,215.2129,941.7661,365.7682,456.6230,1036.6596
idea008,design003,1,10,376.9475,198.3892,739.4750,361.1283,462.3980,856.3477
idea008,design003,1,15,381.3689,196.4834,756.7425,353.1730,449.4779,869.0332
idea008,design003,1,20,362.9032,195.2115,703.3682,353.8937,451.6090,821.9087
idea009,design001,1,5,463.2553,217.3380,962.5420,443.8196,473.6323,1097.0157
idea009,design001,1,10,390.6786,203.9563,769.7816,442.3117,476.0374,929.9827
idea009,design001,1,15,381.1717,196.6714,755.7633,441.2681,477.0987,917.6127
idea009,design001,1,20,375.4640,195.8188,740.1984,440.6284,476.5925,904.8153
idea009,design002,1,5,489.8245,217.3467,1043.0371,443.0882,473.4781,1166.4602
idea009,design002,1,10,394.7255,206.2810,777.3250,441.2066,475.2053,934.1726
idea009,design002,1,15,361.1858,198.9682,690.5367,440.1673,476.5121,859.9954
idea009,design002,1,20,349.0764,197.2199,657.3913,439.0691,475.8088,833.8796
idea009,design003,1,5,437.3478,216.9097,884.9038,442.7641,473.3575,1026.3768
idea009,design003,1,10,389.2123,203.3820,766.5043,440.0202,474.5421,921.3915
idea009,design003,1,15,366.3146,195.0230,714.0884,437.5562,474.5637,880.6336
idea009,design003,1,20,360.6511,194.4582,698.0732,436.7404,473.6625,869.5849
idea010,design001,1,5,443.7296,217.4352,903.1758,444.3673,474.7654,1047.1299
idea010,design001,1,10,374.8451,199.4024,731.0467,444.0137,479.7530,905.2319
idea010,design001,1,15,364.4858,192.4308,713.8095,440.1073,478.6987,883.9786
idea010,design001,1,20,357.2885,191.3129,694.2691,440.5286,479.6143,871.2228
idea010,design002,1,5,449.6151,220.3613,915.0696,448.1927,478.1972,1060.1134
idea010,design002,1,10,364.6509,196.5896,705.8663,441.6140,478.6729,879.9729
idea010,design002,1,15,358.7939,192.3825,696.6594,439.7855,478.7298,866.7462
idea010,design002,1,20,345.9538,191.6688,659.1993,439.1014,478.0223,838.9537
idea010,design003,1,5,423.7980,216.3206,845.0400,444.3775,475.5037,992.6001
idea010,design003,1,10,367.2089,207.3007,691.8711,442.9668,477.1357,862.2690
idea010,design003,1,15,342.8038,196.4179,640.0115,440.8959,478.3203,815.8067
idea010,design003,1,20,335.4450,195.1453,620.2959,439.2364,476.9098,805.5277
idea011,design001,1,5,437.4038,217.5139,883.8470,441.5976,474.9490,1030.8086
idea011,design001,1,10,364.1747,197.2822,703.0170,436.8458,475.1229,875.9029
idea011,design001,1,15,348.6515,193.4966,663.6628,436.6728,476.5115,846.7623
idea011,design001,1,20,344.8617,192.3902,654.4250,437.2883,477.7909,838.5789
idea011,design002,1,5,488.3097,223.0434,1026.8806,439.7399,471.0847,1156.9996
idea011,design002,1,10,399.5891,197.5894,809.7098,438.8053,476.8640,967.1431
idea011,design002,1,15,371.2332,192.8926,733.3187,438.1666,477.9651,909.1362
idea011,design002,1,20,368.1474,191.1798,727.4452,437.5480,478.1626,902.8755
idea011,design003,1,5,467.5814,215.4218,979.5419,435.5527,473.2293,1107.5060
idea011,design003,1,10,377.8383,194.7227,749.6183,428.3695,471.0689,909.4624
idea011,design003,1,15,365.6626,189.5907,723.1418,429.1638,472.9965,886.3185
idea011,design003,1,20,360.2488,188.6388,708.6692,428.0469,472.2821,877.1043
idea012,design001,1,5,418.0147,226.5470,806.7520,442.4963,472.2696,954.5869
idea012,design001,1,10,364.2886,223.3898,650.3560,446.3308,477.0937,833.2098
idea012,design001,1,15,346.1816,218.6218,605.1666,445.2018,478.2773,797.2563
idea012,design001,1,20,346.1358,216.9356,608.4515,444.3451,478.2208,799.9102
idea012,design002,1,5,421.8208,224.5471,822.3462,442.3108,472.8327,971.5717
idea012,design002,1,10,371.2972,223.4339,671.5046,444.3489,475.3328,845.2147
idea012,design002,1,15,361.9902,218.0185,654.2963,443.5433,476.8015,834.8219
idea012,design002,1,20,352.7921,216.6322,629.2380,443.1630,477.0043,818.5127
idea012,design003,1,5,459.6695,229.2285,927.5346,442.9380,473.1406,1063.3014
idea012,design003,1,10,398.2392,229.8266,740.1679,446.1821,477.3541,893.7167
idea012,design003,1,15,379.9186,227.4410,689.4946,447.0395,478.9635,864.3447
idea012,design003,1,20,373.5383,226.9800,671.0960,446.4281,478.5530,852.3497
idea013,design001,1,5,417.2554,219.1260,819.5183,432.4740,466.0030,968.2370
idea013,design001,1,10,375.5925,205.7632,720.3973,428.7582,464.9030,881.5991
idea013,design001,1,15,357.6556,196.3496,685.1557,425.6327,464.7010,848.3394
idea013,design001,1,20,348.3288,194.1721,661.3135,424.6628,464.6188,830.4596
idea013,design002,1,5,492.1596,224.7302,1035.1223,433.0304,465.9130,1161.7253
idea013,design002,1,10,400.2122,214.7072,776.8434,429.3725,463.8564,930.0728
idea013,design002,1,15,383.9042,208.2547,740.5259,427.1677,463.6124,896.0817
idea013,design002,1,20,378.7592,206.2180,729.0699,426.4217,463.5018,889.4047
idea013,design003,1,5,404.9933,224.2107,772.0368,439.4434,475.7757,917.5810
idea013,design003,1,10,357.2815,200.6682,675.2539,432.2924,476.1561,847.4751
idea013,design003,1,15,331.2730,190.3629,617.3632,430.3854,477.9369,790.6770
idea013,design003,1,20,328.1413,188.8111,611.0239,430.3402,478.5844,788.1290
idea014,design001,1,5,449.1725,220.6289,913.1853,433.7968,475.5926,1044.5840
idea014,design001,1,10,394.1904,216.6747,754.6011,432.9972,478.0757,906.4620
idea014,design001,1,15,373.2963,215.7439,693.1756,434.7008,483.2879,859.9133
idea014,design001,1,20,368.2141,214.2220,680.8648,434.2717,484.0369,850.7943
idea014,design002,1,5,469.6975,220.8677,974.8973,434.7999,476.3721,1105.4049
idea014,design002,1,10,415.3495,217.3793,817.2892,432.8219,477.4493,964.4864
idea014,design002,1,15,390.4831,215.8234,745.0953,433.1266,479.4311,905.7769
idea014,design002,1,20,385.8742,214.3608,734.0984,432.1165,478.9870,896.2151
idea014,design003,1,5,1160.1905,224.3944,3060.1400,439.8396,480.4941,3122.6654
idea014,design003,1,10,405.1708,207.2247,807.0615,432.4851,478.5921,963.6140
idea014,design003,1,15,395.0323,201.2551,788.4588,433.1084,483.6281,941.1688
idea014,design003,1,20,390.5585,198.6024,780.2875,431.9811,483.7206,937.6081
idea015,design001,1,5,473.0037,216.4416,993.9027,444.4658,476.1244,1131.5131
idea015,design001,1,10,402.3463,208.2119,796.4980,442.2489,478.0084,959.2515
idea015,design001,1,15,375.6524,198.9240,734.4646,440.0584,478.4772,908.1975
idea015,design001,1,20,367.8333,196.6555,715.3761,439.3208,479.7725,892.9226
idea015,design002,1,5,470.9135,217.6144,985.1875,433.9335,475.3931,1116.3996
idea015,design002,1,10,399.1413,207.9717,787.2735,431.6012,476.2798,934.0917
idea015,design002,1,15,371.1733,199.8086,719.0956,429.2023,476.6102,884.5626
idea015,design002,1,20,356.0671,197.2017,678.6119,428.4845,477.1663,850.3061
idea015,design003,1,5,463.6337,215.4318,967.5588,436.2683,484.8425,1092.3119
idea015,design003,1,10,394.4766,196.1476,797.1446,427.3879,482.9789,948.1413
idea015,design003,1,15,366.5116,189.6254,725.6443,425.4632,484.1472,887.3107
idea015,design003,1,20,366.9620,187.9383,730.4342,424.1292,483.8443,892.4798
idea016,design001,1,5,436.0786,215.6668,883.5813,443.0689,483.8313,1026.8375
idea016,design001,1,10,368.0118,200.2948,708.5282,440.5821,487.2758,885.5530
idea016,design001,1,15,352.8915,194.2745,674.9321,438.4362,487.5169,854.7032
idea016,design001,1,20,349.3184,193.2538,666.1769,437.5700,486.8785,851.3094
idea016,design002,1,5,434.9042,219.0849,873.0829,445.0580,479.4144,1016.6365
idea016,design002,1,10,377.9082,203.2647,732.4874,436.7923,475.8798,897.9288
idea016,design002,1,15,354.9443,197.9998,673.5892,435.1565,475.0686,847.7686
idea016,design002,1,20,347.8171,197.0901,653.8385,435.3378,475.1692,834.1312
idea016,design003,1,5,410.7588,223.6426,790.6615,449.3627,488.0175,948.5084
idea016,design003,1,10,349.5106,197.9255,657.2744,437.7602,485.9402,833.0587
idea016,design003,1,15,344.8133,195.1231,648.7298,436.5699,485.8006,825.9408
idea016,design003,1,20,335.2958,194.5205,621.1123,436.5832,485.9503,805.7717
idea017,design001,1,5,465.9349,215.5945,974.2017,408.7521,510.2348,1082.0472
idea017,design001,1,10,382.4189,194.0536,764.8577,385.8014,500.1934,891.5357
idea017,design001,1,15,355.9901,188.6093,695.8238,370.8435,478.4391,826.7077
idea017,design001,1,20,352.0878,186.9648,687.3374,356.9541,460.2464,814.2362
idea017,design002,1,5,450.3231,213.9761,930.1792,410.2012,516.3004,1045.4026
idea017,design002,1,10,371.3698,194.3202,730.8342,392.7191,505.6763,874.9562
idea017,design002,1,15,363.4024,188.5532,718.3993,368.7843,475.1933,845.4239
idea017,design002,1,20,356.4847,187.2785,700.0245,359.5499,463.6426,825.8141
idea017,design003,1,5,477.7709,211.9218,1017.5250,413.8991,526.9592,1137.9154
idea017,design003,1,10,396.8986,192.4744,811.9417,396.0426,509.4306,939.7246
idea017,design003,1,15,373.3587,185.9650,753.8247,369.3421,478.4237,874.4216
idea017,design003,1,20,372.0345,184.8732,752.0285,361.5282,468.0847,868.7782
idea018,design001,1,5,478.4486,214.4991,1014.3459,440.9331,481.0855,1146.1303
idea018,design001,1,10,394.1768,196.6851,795.1447,434.7072,481.2393,953.5987
idea018,design001,1,15,382.6809,195.1670,763.3909,434.8337,482.2611,925.0555
idea018,design001,1,20,378.8368,194.2596,753.5843,434.2844,482.0702,919.7748
idea018,design002,1,5,470.9346,215.1445,990.2660,441.1756,481.3077,1123.5325
idea018,design002,1,10,382.8207,197.1284,759.8326,434.6656,480.8867,918.4114
idea018,design002,1,15,377.9091,195.1700,748.9249,434.0282,481.1644,905.5760
idea018,design002,1,20,360.1002,194.2270,696.8729,433.1034,480.7887,863.8342
idea018,design003,1,5,493.0106,218.1254,1051.1110,418.5332,512.5515,1148.9780
idea018,design003,1,10,392.2216,205.7424,770.8308,378.7216,481.9257,886.6778
idea018,design003,1,15,380.6543,198.5281,750.4257,362.5715,460.8401,863.2399
idea018,design003,1,20,365.4941,196.6485,708.3018,358.3050,455.9946,826.6324
idea019,design001,1,5,463.8636,216.8741,965.3272,442.0946,476.7753,1098.8003
