epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,673.8557,227.0632,1580.9799,447.2644,477.6025,1687.6235
2,561.0586,217.9251,1257.7237,444.7536,477.4121,1377.4754
3,490.2555,218.2041,1042.6024,444.9675,477.4868,1182.6410
4,479.2693,220.2907,1005.0745,448.4053,478.9165,1150.5481
5,475.8928,216.6381,1002.2586,446.4917,479.3917,1146.5926
6,466.7090,220.8018,965.9753,451.8371,481.7468,1123.0470
7,433.2459,211.1687,884.1299,444.7449,477.2506,1046.5884
8,407.1442,209.5050,808.4116,444.0552,477.6048,978.3264
9,401.7979,203.1840,805.0444,443.7990,478.8949,984.7803
10,407.5779,199.3118,830.4213,442.5881,478.5573,1001.8402
11,396.9420,196.4675,803.9660,442.5894,479.8906,980.7864
12,388.0029,196.3464,777.1235,440.5776,477.7109,959.1254
13,396.9624,195.2632,806.4731,442.0376,479.5658,984.9286
14,388.5842,193.7811,784.0935,441.9369,479.5237,968.8362
