epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
5,455.1852,220.7410,931.1781,443.7414,472.9810,1070.3852
10,367.0104,206.2389,693.4254,441.6812,474.6997,864.5179
15,358.5953,196.8897,686.9068,439.5682,475.5200,856.3354
20,346.5824,195.7158,652.8874,438.6551,474.9553,833.7476
