epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,216.3551,192.7777,264.2243,334.1183,414.8709,425.9439
2,204.0222,189.9760,232.5402,327.9408,405.7270,411.6410
3,192.3432,186.5897,204.0245,319.9984,395.8406,386.4640
4,194.2869,183.7870,215.6048,312.0005,385.2919,380.0386
5,188.9101,181.6803,203.5889,307.1089,378.3814,370.8782
6,187.1178,177.5992,206.4434,296.9001,365.8094,365.7277
7,179.6491,174.3266,190.4556,291.4831,358.8912,350.8078
8,177.6726,170.5075,192.2199,284.1191,348.8452,347.7444
9,175.4972,164.1043,198.6282,277.6853,342.5546,351.0233
10,168.4432,158.0973,189.4486,272.3740,335.7586,340.5434
11,164.9663,155.2233,184.7476,267.5157,330.3435,333.1376
12,167.4554,153.4624,195.8653,263.5532,325.0105,338.1562
13,161.3720,151.6981,181.0129,262.6510,324.8116,326.5375
14,160.2511,150.3916,180.2688,259.9455,320.8481,324.4722
15,159.7133,149.2270,181.0036,257.9822,318.6350,324.4563
16,159.5284,148.4612,181.9982,255.7076,315.3130,322.7649
17,158.8748,148.1982,180.5515,255.0508,314.1994,321.2229
18,158.2292,147.6052,179.7990,255.2153,314.7776,321.0826
19,157.7663,147.5942,178.4186,255.1223,314.6625,320.1369
20,157.8340,147.5398,178.7342,255.1251,314.6574,320.2824
