epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,224.1250,200.6848,271.7156,417.7458,444.0767,494.0585
2,231.6740,209.8543,275.9747,413.3683,437.1135,495.5325
3,204.6932,192.3897,229.6730,407.6209,434.3396,475.5039
4,196.4432,188.8243,211.9119,410.6413,438.1178,464.8747
5,212.3144,180.6179,276.6679,404.9055,435.4245,501.6564
6,183.7664,175.9744,199.5864,404.1272,436.8609,453.5086
7,180.6249,171.7076,198.7298,401.6513,435.3861,459.2907
8,181.4903,170.2656,204.2797,400.4791,435.6018,457.1614
9,182.9966,167.6465,214.1621,399.8011,435.4373,460.9129
10,171.8119,163.6091,188.4659,401.1423,438.6175,452.7456
11,170.4241,160.1970,191.1882,398.2219,436.7543,451.9818
12,168.9180,155.3219,196.5220,397.5446,437.4174,450.5949
13,162.0023,152.3149,181.6706,395.4926,435.8220,445.7943
14,162.6701,151.0471,186.2685,396.3095,437.2630,449.3323
15,161.6394,149.9391,185.3945,395.6430,437.3071,446.5963
16,160.0618,149.2289,182.0561,396.0248,437.9070,446.5858
17,158.7986,149.3317,178.0192,396.2021,438.1067,445.7955
18,161.6774,148.4672,188.4982,395.5887,437.7281,448.8589
19,159.8967,148.0949,183.8577,395.3676,437.6581,447.1600
20,160.2113,148.1705,184.6578,395.5931,437.8894,447.2778
