epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,768.7155,227.5559,1867.4336,440.4559,479.0610,1965.4064
2,657.2630,219.9571,1545.1266,437.5474,477.9921,1648.5369
3,609.5363,216.4172,1407.6874,435.5583,477.2696,1524.5817
4,543.9650,214.7747,1212.3213,434.1631,476.2786,1331.3544
5,489.7557,213.0801,1051.4908,435.3825,477.5605,1184.8655
6,468.2338,213.4640,985.4938,435.1120,477.1037,1121.6524
7,485.0641,214.7832,1033.8162,433.3207,475.3632,1167.3007
8,439.3912,212.6798,899.6839,434.1713,476.8196,1045.9769
9,439.1524,211.0188,902.3325,434.4049,477.7554,1047.9258
10,438.3334,211.4131,899.0505,433.9561,477.3682,1047.9193
11,458.7040,209.0182,965.6419,433.9588,478.4795,1099.3476
