epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,637.7184,225.8614,1473.9129,451.7478,483.6292,1587.9909
2,543.5007,217.4702,1205.4414,445.9252,479.2191,1327.5099
3,480.0237,216.9012,1014.2424,441.9876,474.2577,1151.0227
4,455.9726,214.1797,946.8853,443.6494,475.9389,1086.9668
5,429.7414,214.7528,866.2335,443.3848,475.9477,1022.2946
6,431.8533,214.1889,873.7780,443.5770,474.7098,1032.0596
7,420.7752,212.8890,842.8474,441.2174,473.3500,1010.2290
8,417.5211,210.1701,838.5063,444.6170,478.1069,1005.9470
9,406.2581,208.2053,808.3651,444.2298,478.1079,975.2834
10,386.6343,205.6998,753.9862,442.5795,476.7593,932.9644
11,392.7090,205.0451,773.7237,445.2320,479.9311,955.1723
