epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,214.6568,192.7775,259.0784,414.0154,438.4336,491.0808
2,202.6655,190.0888,228.1999,413.3659,437.6801,477.7301
3,201.5519,185.9588,233.2106,414.1044,439.3170,472.8246
4,190.3057,184.1098,202.8853,412.6070,437.6868,473.8309
5,179.8337,177.8323,183.8973,411.8578,439.0967,459.9257
6,180.1715,175.2700,190.1229,409.8454,437.3860,469.2699
7,178.8294,173.2369,190.1837,408.6370,436.6341,466.3773
8,180.2871,171.4787,198.1707,408.6202,437.2405,462.9329
9,175.1047,170.4704,184.5137,408.9847,437.8292,462.1447
10,173.0088,169.1802,180.7819,406.7844,436.1012,455.9108
11,175.8545,168.4828,190.8214,409.2525,438.6210,463.9887
12,177.3378,167.1962,197.9285,406.6209,436.1055,460.7455
13,171.8559,166.7296,182.2639,407.5061,437.2569,454.7843
14,171.8879,166.2885,183.2563,406.4641,436.0112,457.1185
15,169.7123,166.2157,176.8113,406.2377,435.8014,455.8831
16,169.9338,165.6239,178.6841,406.6336,436.3509,457.5393
17,170.5296,165.4256,180.8921,406.3970,436.3171,459.2928
18,170.5356,165.2571,181.2525,405.9811,435.8849,458.1509
19,170.3852,165.1407,181.0332,406.1103,436.0674,457.4543
20,170.3300,165.1068,180.9345,406.1699,436.1584,457.2166
