epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,224.1915,194.2761,284.9289,412.3443,435.8608,500.1585
2,208.5188,192.9879,240.0513,413.4144,437.3034,477.0499
3,191.8056,187.2900,200.9735,413.1396,438.3591,466.0966
4,202.8007,183.6212,241.7410,414.1577,440.0717,479.7891
5,184.2110,178.0059,196.8091,410.9655,438.3977,466.6705
6,183.9935,175.2606,201.7239,409.7801,437.5482,468.5844
7,181.8194,173.3582,198.9982,407.9044,435.7912,467.7512
8,177.9511,172.0098,190.0138,408.0800,436.8162,458.8391
9,176.1238,170.9755,186.5764,408.5448,437.7750,462.7057
10,173.9820,168.7997,184.5037,406.2136,436.0521,456.6179
11,174.5210,168.0826,187.5928,407.6899,437.4932,463.1653
12,176.3628,168.0206,193.3001,407.4080,436.9791,459.3722
13,173.3467,166.8852,186.4656,406.6257,436.6080,456.1339
14,174.1489,166.4270,189.8265,405.6814,435.4264,458.1156
15,171.6531,166.1384,182.8497,405.6567,435.4899,458.2099
16,172.5661,165.5505,186.8098,405.6594,435.6656,457.8606
17,171.9734,165.2018,185.7217,405.7042,435.9867,460.0053
18,172.0087,165.1786,185.8757,405.4001,435.6142,458.5416
19,171.9952,165.1004,185.9936,405.5810,435.8408,458.8817
20,171.9061,165.0545,185.8169,405.6051,435.8891,458.4570
