epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,623.3817,226.0455,1430.0947,445.7457,476.3871,1545.0046
2,518.4215,220.1975,1123.9066,444.4005,476.6362,1254.6843
3,497.1478,219.9898,1059.8626,440.6235,473.1161,1191.1926
4,466.5652,223.9846,959.0773,444.4797,475.3116,1104.8045
5,477.0892,222.6489,993.6800,444.1021,476.8069,1133.9947
6,437.4768,219.9408,879.1409,442.5055,475.1221,1031.8578
7,418.0106,223.1590,813.6183,442.9636,474.5556,990.4280
8,431.1552,219.7550,860.3617,444.4894,476.8005,1021.6112
9,405.8315,219.2194,784.7107,444.7942,477.8078,958.3349
10,391.9264,219.6819,741.6349,444.6651,477.6020,928.7876
11,419.9552,219.8637,826.2016,445.2638,478.4153,996.2173
12,391.2935,219.0222,741.0566,445.5695,479.0336,932.1739
13,388.5108,217.4562,735.8034,444.7281,478.3526,927.5140
14,383.3906,217.7202,719.7516,445.3476,479.0034,913.4603
