epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,215.0560,193.0134,259.8094,406.6357,441.4454,484.2657
2,210.9666,191.1408,251.2189,404.2931,438.2313,478.4911
3,203.7431,186.8252,238.0914,404.3360,438.4111,465.8941
4,199.6872,180.9039,237.8228,401.8355,437.0274,469.0422
5,182.9244,175.1140,198.7817,400.0010,437.0294,448.3244
6,184.4242,170.1574,213.3902,396.9258,435.1614,457.0210
7,174.3174,166.5329,190.1223,397.2741,436.7791,451.9526
8,181.4058,165.1064,214.4985,396.3754,435.9996,460.4492
9,175.4141,164.1586,198.2663,395.9662,436.5973,453.9137
10,174.6320,163.5134,197.2062,395.3765,436.0377,448.5869
11,177.5366,164.7913,203.4136,395.5786,435.9390,453.8612
12,172.7753,163.2012,192.2137,395.2740,436.2390,446.9948
13,172.0259,163.1743,189.9973,395.3021,436.3310,446.4951
14,171.6142,162.7555,189.6001,395.2049,436.5377,448.6534
15,168.4639,162.6619,180.2438,395.2415,436.6007,441.6345
16,168.8808,162.3113,182.2188,394.5670,436.1276,443.8348
17,168.6325,162.0802,181.9355,394.8810,436.4478,443.5006
18,169.5517,162.1550,184.5693,394.8876,436.4610,445.2302
19,169.4999,162.1798,184.3620,394.9171,436.5231,445.1296
20,169.4708,162.2018,184.2292,394.9608,436.5645,444.6883
