epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,216.0020,193.1788,262.3402,416.2548,440.6457,490.8651
2,208.6532,189.9114,246.7048,415.8254,440.3763,480.7947
3,205.5845,187.2247,242.8605,412.7130,437.4266,486.8373
4,195.0053,184.2873,216.7661,412.4467,438.0873,470.3274
5,181.9916,180.9520,184.1023,414.7462,441.1501,471.5238
6,182.4079,176.0129,195.3917,410.6700,438.1944,468.3596
7,178.4890,173.5212,188.5751,409.1552,437.2201,465.9518
8,178.5819,172.9350,190.0470,410.0454,438.4436,461.6941
9,175.3640,171.1488,183.9221,410.7921,439.7629,460.1590
10,174.5983,169.5469,184.8540,407.6151,436.8876,454.8767
11,175.3993,169.0668,188.2563,409.7102,439.0174,464.7467
12,173.8657,168.0964,185.5790,407.9253,437.2987,455.6800
13,172.2813,167.4219,182.1473,408.0111,437.6901,452.6046
14,172.1504,167.3144,181.9691,407.6869,437.1934,455.8876
15,169.5902,166.9166,175.0183,407.2652,436.9296,453.6501
16,170.3485,166.5624,178.0353,407.2438,436.9672,457.2150
17,170.2173,166.2831,178.2048,407.1294,437.0685,458.0232
18,170.4346,166.3613,178.7048,407.0398,436.9264,456.6765
19,170.4617,166.2763,178.9593,407.0607,436.9687,456.3103
20,170.3732,166.2626,178.7190,407.1211,437.0502,456.0713
