epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,636.6836,223.4728,1475.6267,438.4167,478.0794,1578.7184
2,568.8069,217.0704,1282.9387,436.5050,477.6856,1386.1362
3,514.8904,215.3680,1123.0117,436.8192,478.0543,1254.7073
4,469.5006,215.6189,984.9573,439.0354,480.7139,1118.0067
5,435.1761,212.6334,887.0055,437.3665,478.5891,1038.6283
6,441.0465,208.7541,912.6705,436.6746,478.8575,1063.3032
7,423.8230,207.5512,862.9204,434.7544,477.0600,1025.1024
8,419.1460,205.1301,853.6632,434.5324,478.6152,1024.5845
9,421.2399,200.7520,868.8970,432.5732,478.2479,1034.6174
10,404.5580,196.2556,827.4752,432.0048,479.5771,995.3707
11,400.2207,196.4370,813.9635,433.1229,480.5703,984.3083
