epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,233.4756,209.6172,281.9154,422.4622,446.6850,506.7444
2,213.4974,201.7746,237.2983,417.6825,442.1077,478.4912
3,205.9635,200.5047,217.0464,421.0431,446.2653,478.0147
4,197.4439,197.7385,196.8457,418.0342,442.2949,472.2094
5,197.2270,194.6510,202.4570,418.4775,443.8186,478.1254
6,198.0114,193.0002,208.1857,416.3817,442.0276,473.6395
7,193.4172,192.7100,194.8531,416.4452,442.2102,472.7304
8,195.1242,189.6801,206.1775,417.6207,444.6107,471.1942
9,187.8335,187.1869,189.1463,414.2160,441.3143,468.2961
10,188.1841,186.6574,191.2836,413.3573,440.7029,462.3109
11,185.4853,185.4742,185.5079,414.8533,442.4979,466.5636
12,187.2278,186.1885,189.3379,413.4125,440.6233,462.2678
13,184.7579,185.1455,183.9711,414.4653,441.9200,460.7077
14,187.8678,185.1509,193.3839,413.4115,440.4145,465.4026
