epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,220.8307,200.4512,262.2070,550.1749,647.9303,625.9527
2,209.9189,192.1649,245.9650,529.0378,613.9308,597.0761
3,195.3341,181.5750,223.2693,516.1805,595.3465,573.5759
4,185.1429,177.9533,199.7399,498.5510,568.6309,553.4850
5,174.8569,168.6721,187.4138,488.3793,558.4666,538.0875
6,177.4061,174.8558,182.5839,481.7002,542.4722,529.3526
7,169.9026,166.5231,176.7640,473.0215,532.8372,518.1116
8,171.2478,160.5008,193.0674,468.1301,528.2335,519.4540
9,166.5081,159.1291,181.4896,464.6354,524.0489,516.2848
10,165.0665,160.5233,174.2906,464.3142,520.4944,510.5206
11,166.3747,160.6233,178.0519,459.1382,511.8286,506.8964
12,167.0570,155.0033,191.5298,458.4803,512.6799,506.7963
13,163.5388,153.8402,183.2300,457.1023,511.5218,505.2460
14,160.0079,151.9662,176.3351,458.1005,512.4655,505.7445
15,162.8289,152.0170,184.7804,457.6387,510.9732,504.7417
16,159.5910,151.0252,176.9823,456.4814,509.9085,503.9473
17,158.9177,150.4064,176.1982,457.1981,510.8510,504.6058
18,159.6404,149.8709,179.4755,456.9779,510.6143,505.4626
19,159.8092,149.5841,180.5692,457.1191,511.0386,506.1724
20,159.8161,149.6215,180.5143,457.1610,511.1094,505.9481
