epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,699.9913,216.7680,1681.0809,442.2873,481.7291,1779.1750
2,550.4823,213.2716,1235.1223,439.5110,479.6362,1359.5470
3,485.9288,218.4164,1029.0602,444.5763,484.4664,1173.2622
4,460.0635,203.2365,981.5001,439.5308,484.4979,1121.9491
5,444.0409,200.1512,939.2110,439.4748,486.1452,1085.1095
6,428.4512,194.9568,902.5155,436.7765,484.2618,1045.6393
7,425.6763,193.7611,896.5343,435.0500,482.3418,1046.7635
8,387.8755,189.9431,789.7383,433.4321,482.7487,958.9839
9,393.4293,188.8110,808.8663,432.7462,482.2404,974.6842
10,388.5046,187.7846,796.0272,432.2339,481.5049,961.6676
11,360.4974,186.5549,713.6535,434.3669,484.7994,896.9183
12,365.6057,186.1005,730.0558,431.8273,482.2229,904.3495
13,362.2510,184.6638,722.8069,432.0135,482.5825,904.1579
14,372.7234,186.5119,750.7892,432.6126,482.6139,925.0197
