epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,719.9382,220.9428,1733.0501,582.2411,694.6619,1913.5718
2,611.5602,214.2811,1418.1571,552.6104,656.4545,1578.7324
3,570.7628,221.5832,1279.7032,533.0380,624.1480,1436.2786
4,489.4088,214.2242,1048.1170,510.4275,593.8385,1224.5383
5,479.8812,212.9676,1021.7966,500.3633,576.8098,1189.3157
6,427.5609,209.6311,870.0244,490.2287,558.9689,1062.3672
7,409.6430,198.7230,837.8746,483.2724,551.8921,1025.8861
8,420.4556,195.8386,876.4962,481.0562,547.9876,1054.1400
9,393.9960,194.3526,799.3326,476.3382,539.9505,996.4461
10,388.6760,195.0954,781.7034,474.7009,537.7212,968.0830
11,395.3777,192.2147,807.8602,472.0507,535.0297,997.3626
12,379.2767,193.0583,757.3566,471.6183,532.6754,966.7397
13,367.4918,189.6408,728.5832,469.9534,530.7361,938.6015
14,370.8036,190.2028,737.4781,470.4004,530.5454,943.9311
