epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,234.3380,209.5073,284.7520,414.0425,436.7935,504.0044
2,210.3409,192.9711,245.6067,411.3948,435.1542,477.7990
3,206.9578,190.7279,239.9094,407.4769,432.0346,477.9068
4,191.4829,188.5003,197.5384,409.9679,434.1598,468.2241
5,197.8781,179.1166,235.9698,407.7159,435.3247,485.0712
6,182.1374,174.6000,197.4407,406.2599,435.3684,456.1867
7,177.3203,171.5170,189.1027,404.2738,435.6453,459.7430
8,183.6363,170.2618,210.7905,404.6853,435.8304,459.7847
9,177.4334,168.8557,194.8487,407.1435,439.5564,461.3777
10,171.8439,166.5508,182.5906,407.3783,441.0961,453.6163
11,179.1438,166.4740,204.8674,408.0009,441.6947,465.8581
12,171.1131,164.5195,184.5002,408.3857,443.4705,453.4123
13,174.0709,163.8649,194.7921,407.0837,441.8698,458.9822
14,169.5744,163.8355,181.2261,406.3355,441.3059,455.6976
