epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,218.0664,192.0929,270.8006,405.8877,440.4334,489.7748
2,203.5886,187.6315,235.9864,405.0598,439.4747,471.0474
3,192.1650,184.0036,208.7352,404.7641,440.0436,465.7418
4,195.4319,181.1542,224.4200,403.8368,439.2175,470.7678
5,209.6293,180.8825,267.9941,403.9077,439.0571,494.8464
6,179.3121,174.2802,189.5284,403.4756,441.3048,460.9312
7,174.8529,172.7818,179.0578,402.5847,441.1935,453.0791
8,175.7156,169.2700,188.8021,400.2268,440.7057,453.2368
9,172.6724,168.9515,180.2272,400.6102,442.8859,447.1693
10,170.5367,165.1274,181.5195,397.8919,440.3226,446.1459
11,169.0117,164.2963,178.5854,398.3516,441.3049,444.8049
12,168.2864,164.8088,175.3469,399.6696,442.1391,444.5619
13,165.9866,163.2566,171.5293,398.3550,441.4386,443.5961
14,167.5460,162.1971,178.4059,398.0908,442.3454,446.4908
15,166.1158,161.6456,175.1917,397.7013,441.9661,444.8418
16,166.7936,161.3113,177.9244,397.9239,442.3929,446.6253
17,166.5192,160.8254,178.0794,397.9390,442.6474,447.0674
18,166.2475,160.7540,177.4010,397.7821,442.3893,446.2948
19,165.8990,160.6450,176.5663,397.6300,442.3211,445.7888
20,165.7595,160.6642,176.1044,397.7604,442.4866,445.5967
