epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,217.1358,192.9668,266.2062,408.4544,431.9772,488.4407
2,212.7337,192.9037,252.9947,405.1605,428.4263,478.7721
3,203.1668,187.1153,235.7563,410.2322,434.2024,479.1748
4,189.6179,184.9115,199.1733,407.9466,432.0174,468.6790
5,187.5449,179.4033,204.0748,407.3189,432.6122,457.7065
6,181.8481,175.9961,193.7295,406.0039,432.3682,462.4760
7,182.0628,173.4199,199.6106,405.3847,432.2959,464.8037
8,179.5277,173.2698,192.2333,403.9638,431.0493,457.9362
9,173.5544,170.3728,180.0140,403.9612,432.0014,454.3766
10,174.5376,169.3831,185.0027,403.7035,431.7208,450.8812
11,175.5390,168.3889,190.0556,405.0883,433.7221,457.0495
12,172.1461,167.2321,182.1231,402.9527,431.6436,453.5189
13,171.4226,166.7560,180.8972,403.0484,432.2125,451.1769
14,175.7801,166.1168,195.3995,402.9319,432.3201,458.0677
15,170.9035,166.4592,179.9268,402.7473,431.9403,452.2229
16,170.7182,165.3209,181.6763,402.7776,432.2664,453.6642
17,170.6220,164.8782,182.2835,402.7562,432.4823,454.6788
18,170.9925,164.7347,183.6978,402.3162,432.0607,454.6310
19,170.7470,164.6306,183.1651,402.3615,432.1618,453.7903
20,170.7009,164.6052,183.0771,402.3804,432.1830,453.7253
