epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,628.0448,247.7760,1400.1057,440.1180,469.2131,1508.2994
2,535.5856,219.6083,1177.1151,433.3757,467.9991,1295.2420
3,499.2806,215.0201,1076.4155,432.0045,467.2535,1202.8874
4,451.0095,216.4789,927.1776,432.9029,467.7292,1065.3780
5,454.0207,214.1678,940.9947,431.9846,467.7216,1086.1448
6,423.2724,220.8190,834.3143,434.4846,467.1739,991.2577
7,406.8360,219.2091,787.7756,433.5558,466.7408,957.5559
8,418.8046,211.3550,839.9903,431.7658,467.5071,996.2605
9,395.8354,210.9383,771.2325,431.6339,467.4519,943.7513
10,384.1742,207.4361,743.0061,430.9350,467.6148,922.4592
11,402.9283,205.9900,802.7728,430.5894,467.7143,969.7390
12,378.1088,204.2205,731.1547,429.9392,467.3138,912.8058
13,387.5159,202.7002,762.7478,429.5821,467.5919,939.9373
